fname,lname,number,position,year,height,weight,hometown,highschool,image_path,teamID
JORDAN,JUSEVITCH,30,DB,Fr.,"6'1""",206 lbs,"Lowell, Ind.",Lowell,https://iuhoosiers.com/images/2018/7/22/Jusevitch_Jordan.jpg?width=80,2
BRYANT,FITZGERALD,31,DB,R-Fr.,"6'0""",214 lbs,"Indianapolis, Ind.",Avon,https://iuhoosiers.com/images/2018/8/13/Fitzgerald_Bryant.jpg?width=80,2
RICKY,BROOKINS,33,RB,R-Sr.,"5'8""",188 lbs,"Terre Haute, Ind.",Terre Haute North,https://iuhoosiers.com/images/2018/8/7/Brookins_Ricky_3.jpg?width=80,2
JORDAN,PETERSON,33,DB,R-So.,"5'11""",183 lbs,"Avon, Ind.",Avon,https://iuhoosiers.com/images/2018/8/4/Peterson_Jordan.jpg?width=80,2
CAM,JONES,34,LB,Fr.,"6'3""",219 lbs,"Memphis, Tenn.",St. Benedict at Auburndale,https://iuhoosiers.com/images/2018/7/22/Jones_Cam_71.jpg?width=80,2
JACK,MORAN,35,WR,R-Fr.,"6'2""",185 lbs,"Northfield, Ill.",Loyola Academy,https://iuhoosiers.com/images/2017/10/8/20171004_FB_Headshots_Moran_Jack_CB_0003.JPG?width=80,2
NILE,SYKES,35,DL,R-Sr.,"6'2""",252 lbs,"Oak Park, Ill.",Montini Catholic,https://iuhoosiers.com/images/2018/8/13/Sykes_Nile.jpg?width=80,2
WILL,ALLEN,36,"DB",Fr.,"5'11""",175 lbs,"Naperville, Ill.",Neuqua Valley,https://iuhoosiers.com/images/2018/9/24/Allen_Will.jpg?width=80,2
DREW,CONRAD,36,P,R-So.,"6'2""",190 lbs,"Greenwood, Ind.",Center Grove,https://iuhoosiers.com/images/2018/8/13/Conrad_Drew.jpg?width=80,2
AHROD,LLOYD,37,RB,R-Fr.,"5'11""",193 lbs,"Indianapolis, Ind.",Park Tudor,https://iuhoosiers.com/images/2018/8/15/Lloyd_Ahrod.jpg?width=80,2
JEREMY,BOYD,38,DB,R-Fr.,"5'9""",182 lbs,"Indianapolis, Ind.",Ben Davis,https://iuhoosiers.com/images/2018/3/19/Boyd_Jeremy.JPG?width=80,2
CONNOR,THOMAS,38,RB,R-So.,"5'8""",189 lbs,"Clarksville, Tenn.",Clarksville Academy,https://iuhoosiers.com/images/2018/8/13/Thomas_Connor.jpg?width=80,2
RYAN,BARNES,39,LB,Fr.,"6'4""",226 lbs,"Noblesville, Ind.",Noblesville,https://iuhoosiers.com/images/2018/9/24/Barnes_Ryan.jpg?width=80,2
CHRIS,GAJCAK,39,WR,R-Jr.,"6'2""",201 lbs,"Lisle, Ill.",Naperville North,https://iuhoosiers.com/images/2018/8/15/Gajcak_Chris.jpg?width=80,2
CAM,WILSON,40,"DB",R-Fr.,"6'1""",185 lbs,"Columbus, Ind.",Columbus East,https://iuhoosiers.com/images/2019/2/13/2019025_Wilson_Cam.jpeg?width=80,2
MO,BURNAM,41,LB,R-Fr.,"6'2""",228 lbs,"Conyers, Ga.",Salem,https://iuhoosiers.com/images/2018/8/13/Burnam_Mo.jpg?width=80,2
MARCELINO,BALL,42,DB,R-So.,"6'0""",222 lbs,"Roswell, Ga.",Roswell,https://iuhoosiers.com/images/2017/7/21/Ball_Marcelino_1.jpg?width=80,2
DAMEON,WILLISJR.,43,LB,R-Sr.,"6'1""",225 lbs,"Cleveland, Ohio",Saint Ignatius,https://iuhoosiers.com/images/2018/8/13/Willis_Dameon.jpg?width=80,2
THOMAS,ALLEN,44,LB,R-Fr.,"6'3""",236 lbs,"Tampa, Fla.",Plant,https://iuhoosiers.com/images/2018/8/3/Allen_Thomas.jpg?width=80,2
T.D.,ROOF,45,LB,So.,"5'11""",224 lbs,"Buford, Ga.",Buford,https://iuhoosiers.com/images/2018/8/9/Roof_T_D.jpg?width=80,2
AARON,CASEY,46,LB,Fr.,"6'2""",227 lbs,"Douglasville, Ga.",Alexander,https://iuhoosiers.com/images/2018/7/22/Casey_Aaron.jpg?width=80,2
